year_mo,m,n,nd
2002-03,0.0255,11,1
2002-04,0.919772727,11,1
2002-05,1.253333333,6,0
2002-06,1.041785714,7,1
2002-07,0.150642857,7,1
2002-08,0.039666667,3,0
2002-09,0.0395,5,1
2002-10,0.0385,2,0
2002-11,0.0715,2,0
2002-12,0.0605,2,0
2003-01,0.047,3,0
2003-02,0.0395,2,0
2003-03,0.037333333,3,0
2003-04,0.03725,4,0
2003-05,2.299625,16,0
2003-06,2.24,1,0
2003-07,0.519833333,6,0
2003-08,0.116,3,0
2003-09,0.062666667,3,0
2003-11,0.02075,2,1
2004-01,0.032333333,3,0
2004-03,0.058428571,7,0
2004-04,0.063,2,0
2004-05,1.3415,3,1
2004-06,2.769538462,13,0
2004-07,1.361666667,9,0
2004-09,0.0247,5,1
2004-11,0.0076,5,4
2005-01,0.017,1,0
2005-03,0.017,1,0
2005-05,0.136,1,0
2005-07,0.066,1,0
2005-09,0.029,1,0
2005-11,0.02,1,0
2006-01,0.015,1,0
2006-03,0.017,1,0
2006-05,0.055,1,0
2006-07,0.085,1,0
2006-09,0.08,4,3
2007-01,0.018,1,0
2007-03,0.009,1,0
2007-04,0.012,1,0
2007-05,0.067,3,0
2007-06,0.054111111,9,1
2007-07,0.093,3,0
2007-08,0.04225,4,0
2007-09,0.015,1,0
2007-10,0.095384615,13,11
2007-11,0.016,1,0
2008-01,0.010666667,3,0
2008-02,0.013,2,0
2008-03,0.011333333,3,0
2008-04,0.016,2,1
2008-05,0.2195,2,0
2008-06,0.260333333,12,2
2008-07,0.096625,8,2
2008-08,0.04975,4,0
2008-09,0.0655,2,1
2008-10,0.027,1,0
2008-11,0.035,1,0
2008-12,0.005916667,6,3
2009-01,0.014333333,3,0
2009-02,0.013,2,0
2009-03,0.011333333,3,0
2009-04,0.0135,2,0
2009-05,0.268,3,0
2009-06,0.871333333,3,0
2009-07,0.1075,2,0
2009-08,0.044153846,13,3
2009-09,0.043,1,0
2009-10,0.019,1,0
2009-11,0.032,1,0
2009-12,0.006,1,0
2010-01,0.0165,2,0
2010-02,0.011,1,0
2010-03,0.016666667,3,0
2010-04,0.013,2,0
2010-05,0.22275,4,0
2010-06,0.202666667,3,0
2010-07,0.045,3,0
2010-08,0.051,4,0
2010-09,0.025,1,0
2010-10,0.02,1,0
2010-11,0.018,1,0
2010-12,0.018,2,0
2011-01,0.0135,2,0
2011-02,0.015,4,2
2011-03,0.0135,2,0
2011-04,0.0105,2,0
2011-05,0.1105,4,0
2011-06,0.15175,4,0
2011-07,0.073,2,0
2011-08,0.044,5,0
2011-09,0.024,1,0
2011-10,0.015,1,0
2011-11,0.019,1,0
2011-12,0.022,2,0
2012-01,0.012,3,0
2012-02,0.0105,2,0
2012-03,0.009666667,3,0
2012-04,0.0135,2,0
2012-05,0.084333333,3,0
2012-06,0.2305,4,0
2012-07,0.071666667,3,0
2012-08,0.03725,4,0
2012-09,0.015,1,0
2012-10,0.010946667,3,0
2012-11,0.01079,3,0
2012-12,0.00786,2,0
2013-01,0.007196667,3,0
2013-02,0.009405,4,0
2013-03,0.009126667,12,0
2013-04,0.00792,9,0
2013-05,0.18732,12,0
2013-06,0.203888889,18,0
2013-07,0.06635,10,0
2013-08,0.0334,11,1
2013-09,0.0116,1,0
2013-10,0.0232,3,0
2013-11,0.0352,4,0
2013-12,0.01558,3,0
2014-01,0.0178775,4,0
2014-02,0.0062775,4,1
2014-03,0.013611667,12,0
2014-04,0.158334681,47,12
2014-05,1.021242258,62,10
2014-06,0.174276304,23,4
2014-07,0.101533333,6,0
2014-08,0.035277273,22,3
2014-09,0.014396,5,1
2014-10,0.0342,8,0
2014-11,0.023757692,13,8
2014-12,0.0318,11,4
2015-01,0.025530769,13,4
2015-02,0.0288075,14,6
2015-03,0.028125556,18,9
2015-04,0.0601035,20,10
2015-05,0.069902647,34,6
2015-06,0.533566346,104,1
2015-07,0.053333333,12,0
2015-08,0.033214286,7,0
2015-09,0.0283125,12,5
2015-10,0.084250588,17,3
2015-11,0.017683333,6,0
2015-12,0.007765714,7,2
2016-01,0.00645,1,0
2016-02,0.014665714,21,10
2016-03,0.003744444,9,5
2016-04,0.01502913,23,6
2016-05,0.237536364,33,1
2016-06,1.711367083,24,0
2016-07,0.045362,25,1
2016-08,0.063305435,46,4
2016-09,0.01687375,8,2
2016-10,0.013205652,23,3
2016-11,0.02363,14,2
2016-12,0.01285,4,1
2017-01,0.00674,3,0
2017-02,0.00553,5,4
2017-03,0.003484375,8,8
2017-04,0.012210278,18,7
2017-05,0.158377907,43,4
2017-06,0.11219375,16,0
2017-07,0.098859091,11,3
2017-08,0.036633333,12,0
2017-09,0.0156125,4,2
2017-10,0.01565,6,2
2017-11,0.00994,5,2
2017-12,0.00945,2,0
2018-01,0.01096,2,0
2018-02,0.007754,5,0
2018-03,0.007026667,6,0
2018-04,0.0105975,20,2
2018-05,0.128276875,16,0
2018-06,0.16098,5,0
2018-07,0.120803333,6,0
2018-08,0.025881667,6,1
2018-09,0.013714286,7,3
2018-10,0.652546667,3,2
2018-11,0.5171,4,2
2018-12,0.0075,1,0
2019-01,0.00446,1,0
2019-02,0.005316667,3,2
2019-03,0.006333333,6,2
2019-04,0.019894706,17,0
2019-05,0.27630875,16,2
2019-06,0.11903,6,0
2019-07,0.063425,6,1
2019-08,0.028213333,6,1
2019-09,0.033466667,3,0
2019-10,0.63152625,8,4
2019-11,0.00921,1,0
2019-12,0.01485,2,0
2020-01,0.0103,1,0
2020-02,0.007865,4,0
